NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
33,아이본약국,약국,031-647-6334,17902,"경기도 평택시 평택5로34번길 6-1, 1층 103호 (합정동)",
34,천사약국,약국,070-4221-3902,17902,"경기도 평택시 평택5로 30, 롯데마트 평택점 1층 (합정동)",
35,연약국,약국,031-656-5559,17900,"경기도 평택시 평택5로 63, 상가동 1층 101-4호 (비전동, 동성효성아파트)",
36,오로라약국,약국,,18032,"경기도 평택시 상서재로 50, 416동 120호 (동삭동, 평택센트럴자이 4단지)",
37,비전약국,약국,031-653-1774,17852,"경기도 평택시 평남로 937, (비전동, 폴리프라자)",
38,열린온누리약국,약국,031-655-2900,17845,"경기도 평택시 상서재로 55, 근생1동 4호 (동삭동, 평택센트럴자이 3단지)",
39,솔약국,약국,031-618-9588,17852,"경기도 평택시 비전3로 25, 골든프라자 102호 (비전동)",
40,비전하늘약국,약국,031-655-2481,17852,"경기도 평택시 평남로 941, (비전동, 우성메디피아)",
41,에브리데이항상약국,약국,031-657-1325,17851,"경기도 평택시 평남로 951, 디에이치빌딩 1동 1층 103호 (비전동)",
42,한진약국,약국,031-651-2929,17899,"경기도 평택시 중앙로 205, (비전동)",
43,합정약국,약국,031-651-3241,17904,"경기도 평택시 조개터로42번길 60-1, (합정동)",
44,제세온누리약국,약국,031-651-7714,17904,"경기도 평택시 조개터로42번길 58, (합정동)",
45,굿모닝팜약국,약국,031-656-9528,17904,"경기도 평택시 조개터로48번길 35, (합정동)",
46,온정약국,약국,031-654-6781,17887,"경기도 평택시 평택5로 191, 온정약국 1층 (비전동)",
47,미소짓는약국,약국,031-692-2505,17845,"경기도 평택시 동삭로 384, 동화메디컬 1층 (동삭동)",
48,서재중앙약국,약국,031-652-9982,17848,"경기도 평택시 서재로 2, 101호 (동삭동, 한주빌딩)",
49,편한약국,약국,031-654-2249,18031,"경기도 평택시 동삭로 370-4, (동삭동)",
50,다솜약국,약국,031-618-9407,17905,"경기도 평택시 중앙로 176, 2층 223호 (합정동, 평택합정 SK VIEW 주상복합)",
51,아빠약국,약국,031-654-5014,17898,"경기도 평택시 평택4로 69-1, (비전동)",
52,하늘약국,약국,031-653-5707,17899,"경기도 평택시 중앙로 165, (비전동, 외 1필지)",
53,구세약국,약국,031-655-2253,17905,"경기도 평택시 중앙로 162, (합정동)",
54,조아약국,약국,031-618-5540,17905,"경기도 평택시 평택4로 46, (합정동)",
55,건약국,약국,031-652-9456,17907,"경기도 평택시 평택4로 41, 1층 (합정동)",
56,늘푸른온누리약국,약국,031-653-8878,18029,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 1층 2호 (동삭동)",
57,동삭센트럴약국,약국,031-692-0667,17841,"경기도 평택시 동삭1로22번길 19-21, 동삭프라자 102호 (동삭동)",
58,도담약국,약국,031-655-2021,17841,"경기도 평택시 동삭1로22번길 19-15, (동삭동)",
59,모산골약국,약국,031-651-5029,18029,"경기도 평택시 지제동삭2로 181-24, 1층 107호 (동삭동)",
60,코끼리약국,약국,031-692-1933,17841,"경기도 평택시 동삭1로22번길 19-17, 메인프라자 101호 (동삭동)",
61,365열린약국,약국,,17849,"경기도 평택시 평남로 1047-1, 102호 (동삭동)",
62,다나약국,약국,031-652-8102,17907,"경기도 평택시 중앙로 148, (합정동)",
63,뉴그린약국,약국,031-658-7590,17908,"경기도 평택시 중앙로 120, (합정동)",
64,슬림라이프약국,약국,031-655-5956,18028,"경기도 평택시 모산영신1길 45, 1층 (동삭동)",
65,연희약국,약국,031-651-9136,17897,"경기도 평택시 중앙로 105, (비전동)",
66,평택튼튼약국,약국,031-618-2300,17842,"경기도 평택시 세교8길 30, 세교디오네프라자 125호 (세교동)",
67,평택예스약국,약국,031-654-9616,18029,"경기도 평택시 지제동삭1로 208, (동삭동)",
68,봄봄온누리약국,약국,031-654-1377,17909,"경기도 평택시 중앙로 96, 101, 102호 (합정동)",
69,세교 봄약국,약국,031-691-0911,17842,"경기도 평택시 세교7길 52, SJ빌딩 1층 102호 (세교동)",
70,평택프라자약국,약국,031-658-6116,17909,"경기도 평택시 중앙로 84, (합정동)",
71,평택제일약국,약국,031-655-8788,17909,"경기도 평택시 중앙로 82-1, (합정동)",
72,세교약국,약국,031-618-5572,17842,"경기도 평택시 세교7길 30, 101호 (세교동)",
73,우리동네현대약국,약국,031-8094-0110,17842,"경기도 평택시 세교6로 45, 상가동 205호 (세교동, 힐스테이트 평택2차)",
74,큰사랑약국,약국,031-651-1880,17909,"경기도 평택시 중앙2로 37, (합정동)",
75,나래약국,약국,031-656-9277,17909,"경기도 평택시 중앙로 66, (평택동)",
76,한일약국,약국,031-655-5982,17909,"경기도 평택시 평택2로 34, (평택동)",
77,지제약국,약국,031-692-2993,18026,"경기도 평택시 영신2길 19, 103호 (세교동)",
78,비타민약국,약국,031-657-7602,17909,"경기도 평택시 평택2로20번길 31, (평택동)",
79,고려사약국,약국,618-7143,17909,"경기도 평택시 중앙2로 25, (평택동)",
80,정문약국,약국,070-4213-3287,17909,"경기도 평택시 자유로3번길 20, (평택동)",
81,사랑약국,약국,031-667-3668,17731,"경기도 평택시 추담로 58-78, 상가2동 104호 (장안동, 평택장안마을코오롱하늘채)",
82,새서울약국,약국,031-618-2533,17909,"경기도 평택시 평택2로20번길 15, (평택동)",
83,시민약국,약국,031-652-8422,17895,"경기도 평택시 중앙1로56번길 22-10, (비전동)",
84,햇살가득한약국,약국,031-651-0898,17909,"경기도 평택시 자유로3번길 15, (평택동)",
85,으뜸약국,약국,070-8836-0587,17909,"경기도 평택시 평택2로20번길 11, (평택동)",
86,봄날약국,약국,,18026,"경기도 평택시 영신2길 87, 영신빌딩 104호 (세교동)",
87,바른약국,약국,031-653-2002,17909,"경기도 평택시 평택2로20번길 14, 1층 (평택동)",
88,건강약국,약국,657-4196,17909,"경기도 평택시 평택2로20번길 8, (평택동)",
89,인영온누리약국,약국,031-655-0956,17909,"경기도 평택시 평택2로20번길 4, (평택동)",
90,그린약국,약국,031-647-0183,17909,"경기도 평택시 중앙2로 15, 1층 (평택동)",
91,한빛약국,약국,031-657-0037,17909,"경기도 평택시 중앙2로 13, 1층 114호 (평택동, 센텀스카이빌딩)",
92,우리약국,약국,031-653-7666,17894,"경기도 평택시 평택1로 41, (통복동)",
93,나라약국,약국,031-618-6647,17912,"경기도 평택시 평택로32번길 21, (평택동)",
94,수호온누리약국,약국,031-618-5440,17912,"경기도 평택시 중앙2로 16, 104호 (평택동)",
95,부영약국,약국,031-651-3083,17836,"경기도 평택시 세교공원로 66, 101호 (세교동, 부영아파트상가1동)",
96,행복한약국,약국,031-618-3083,17836,"경기도 평택시 세교공원로 66, 109호 (세교동, 부영아파트상가2동)",
97,조일약국,약국,070-4200-6199,17912,"경기도 평택시 평택로32번길 2, (평택동)",
98,미소약국,약국,031-657-2654,17909,"경기도 평택시 평택2로 6, (평택동)",
99,바른정약국,약국,031-655-5107,17894,"경기도 평택시 중앙로 29, (통복동)",
100,성심약국,약국,031-656-5096,17909,"경기도 평택시 중앙2로 1, (평택동)",
101,영진약국,약국,031-618-8100,17910,"경기도 평택시 평택1로 4, (평택동)",
102,바다약국,약국,031-655-9032,17917,"경기도 평택시 평택로 41, (평택동)",
103,강남약국,약국,031-692-7575,17911,"경기도 평택시 평택로 54, (평택동, 외1필지)",
104,경기약국,약국,031-655-5466,17894,"경기도 평택시 중앙로 21-1, (통복동)",
105,평택백화점약국,약국,070-8287-3650,17714,"경기도 평택시 진위면 진위서로 142, (진위면)",
106,메디칼 세계로 약국,약국,657-8078,17893,"경기도 평택시 중앙로 11, (통복동)",
107,로데오약국,약국,031-658-1323,17911,"경기도 평택시 평택로 78, 1층 (평택동)",
108,한남약국,약국,031-655-2787,17893,"경기도 평택시 중앙로 7-1, (통복동)",
109,정다운약국,약국,031-652-4573,17911,"경기도 평택시 중앙로 8, (통복동)",
110,민중약국,약국,031-655-2870,17893,"경기도 평택시 평택로 102, (통복동)",
111,365녹십자약국,약국,031-652-3307,17911,"경기도 평택시 중앙로 2, (통복동)",
112,한영약국,약국,031-652-7600,17893,"경기도 평택시 평택로 104, (통복동)",
113,고유약국,약국,,17917,"경기도 평택시 평택로 51, 평택민자역사 (평택동)",
114,훈약국,약국,031-653-5676,17918,"경기도 평택시 평택로 95, (통복동)",
115,동서약국,약국,031-655-6252,17893,"경기도 평택시 통복로 45-1, 1층 (통복동)",
116,시장약국,약국,031-655-4500,17893,"경기도 평택시 통복로 43, 1층 (통복동)",
117,미루나무 약국,약국,031-8094-2077,17918,"경기도 평택시 통복로37번길 5, (통복동)",
118,유일약국,약국,031-658-6009,17922,"경기도 평택시 원평1로 30, (평택동)",
119,마트종로약국,약국,031-651-9631,17840,"경기도 평택시 영신로 29, (지제동, 이마트내)",
120,유명약국,약국,031-655-7925,17839,"경기도 평택시 세교상가1길 3, (세교동)",
121,느티나무약국,약국,031-655-8198,17922,"경기도 평택시 원평로25번길 61-1, 301호 (군문동)",
122,한라약국,약국,031-655-5581,17832,"경기도 평택시 세교로 8, 105호 (세교동, 현대향촌아파트상가)",
123,별빛약국,약국,031-616-4412,17840,"경기도 평택시 지제동삭1로 41, 130동 2층 33호 (지제동, 지제역 더샵 센트럴시티)",
124,도토리약국,약국,031-647-0161,17921,"경기도 평택시 원평로105번길 42, 104호 (통복동)",
125,참바른약국,약국,031-652-0420,17825,"경기도 평택시 평택로 286, 동진빌딩 102호 (세교동)",
126,참바른약국,약국,031-652-0420,17825,"경기도 평택시 평택로 286, 동진빌딩 102호 (세교동)",
127,대학로약국,약국,031-691-9876,17825,"경기도 평택시 평택로 282, (세교동)",
128,평택정문약국,약국,031-618-9111,17825,"경기도 평택시 평택로 282, (세교동)",
129,뜨란약국,약국,031-665-9669,17735,"경기도 평택시 이충로35번길 22, 106호 (이충동, 뜨란프라자)",
130,센타약국,약국,031-667-5075,17735,"경기도 평택시 이충로35번길 20-9, 이충센타프라자 (이충동)",
131,호약국,약국,031-663-0258,17735,"경기도 평택시 이충로35번길 24, 보람플러스2 104호 (이충동)",
132,유일약국,약국,031-666-1909,17720,"경기도 평택시 지산로 85, (독곡동, 우남빌딩)",
133,송탄우리약국,약국,031-662-8157,17774,"경기도 평택시 경기대로 1365, 1층 (서정동, 한양빌딩)",
134,스타약국,약국,031-663-6558,17774,"경기도 평택시 관광특구로 41, 1층 (서정동)",
135,삼성약국,약국,031-664-5553,17774,"경기도 평택시 관광특구로 37, (서정동)",
136,정약국,약국,031-667-3276,17774,"경기도 평택시 관광특구로 38, (서정동)",
137,늘봄약국,약국,031-664-1046,17719,"경기도 평택시 오좌동길 9, (독곡동)",
138,GS약국,약국,031-667-6564,17774,"경기도 평택시 관광특구로 31, (서정동)",
139,튼튼약국,약국,,17763,"경기도 평택시 경기대로 1511, 1층 (지산동)",
140,다나약국,약국,031-611-8009,17763,"경기도 평택시 지산로 70, 1층 101호 (지산동, 부천프라자)",
141,송탄드림약국,약국,031-667-8486,17763,"경기도 평택시 지산로 64, 1층 (지산동)",
142,오약국,약국,031-666-3002,17774,"경기도 평택시 관광특구로 25, (서정동)",
143,유미약국,약국,031-666-2577,17763,"경기도 평택시 지산로 62, (지산동)",
144,새시장약국,약국,031-665-3921,17763,"경기도 평택시 지산로 60, (지산동)",
145,명성약국,약국,031-611-2732,17774,"경기도 평택시 관광특구로 19, 3층 307호 (서정동)",
146,시네마약국,약국,031-663-0349,17774,"경기도 평택시 관광특구로 19, 1층 (서정동)",
147,삼보약국,약국,031-662-8875,17714,"경기도 평택시 진위면 진위서로 2, 1층 102호",
148,세림약국,약국,031-611-6141,17774,"경기도 평택시 송탄로 272, (서정동)",
149,바로E약국,약국,,17754,"경기도 평택시 탄현로371번길 55, 102, 103호 (신장동)",
150,우미약국,약국,031-663-4598,17774,"경기도 평택시 송탄로 260, 2층 (서정동)",
151,온누리영진약국,약국,031-667-8603,17776,"경기도 평택시 송탄로 220, 1층 (서정동)",
152,플러스약국,약국,,17784,"경기도 평택시 경기대로 1103, 홈플러스 B1층 (장당동)",
153,하나약국,약국,031-611-4048,17766,"경기도 평택시 서정북로 79, 신광빌딩 (서정동)",
154,송탄하늘약국,약국,031-666-5873,17756,"경기도 평택시 송탄로 410, 1층 (지산동)",
155,이수약국,약국,031-611-6197,17785,"경기도 평택시 송탄로40번길 67, (이충동)",
156,송탄온누리약국,약국,031-662-1102,17766,"경기도 평택시  서정북로 71, (서정동)",
157,약수약국,약국,031-664-5107,17757,"경기도 평택시 송탄로 413, (지산동)",
158,꽃피는약국,약국,031-665-3213,17785,"경기도 평택시 송탄로40번길 79-16, 103호 (이충동)",
159,늘푸른약국,약국,031-665-0805,17761,"경기도 평택시 송탄로371번길 14, (지산동)",
160,소라약국,약국,031-611-7104,17757,"경기도 평택시 탄현로 340, (지산동)",
161,아침약국,약국,031-668-8140,17757,"경기도 평택시 탄현로336번길 10, (지산동)",
162,스마일약국,약국,031-611-3102,17784,"경기도 평택시 송탄로 33, (장당동, 굿스파인병원)",
163,푸른약국,약국,031-663-5452,17777,"경기도 평택시 점촌로19번길 59, (서정동, 고려빌딩)",
164,서정굿모닝약국,약국,031-611-7572,17779,"경기도 평택시 서정역로36번길 10, (서정동)",
165,송북약국,약국,,17757,"경기도 평택시 탄현로 334, 1층 (지산동)",
166,온세약국,약국,031-662-1171,17753,"경기도 평택시 탄현로 341, (신장동)",
167,새봄약국,약국,031-664-8978,17783,"경기도 평택시 서정역로26번길 7-10, (이충동)",
168,송탄종합약국,약국,031-662-3690,17757,"경기도 평택시 탄현로 330, (지산동)",
169,아나파약국,약국,031-666-6337,17757,"경기도 평택시 탄현로 328, (지산동)",
170,세민약국,약국,031-611-7378,17753,"경기도 평택시 탄현로 335, 1층 (신장동)",
171,장당온누리약국,약국,031-668-7588,17785,"경기도 평택시 청원로 1200, 1층 105호 (이충동, 금강프라자 )",
172,이화약국,약국,031-663-5911,17757,"경기도 평택시 탄현로326번길 3, (지산동)",
173,일등약국,약국,031-668-9630,17753,"경기도 평택시 탄현로 333, (신장동)",
174,녹십자약국,약국,031-666-7289,17757,"경기도 평택시 탄현로 322, (지산동)",
175,새희망약국,약국,031-667-0955,17783,"경기도 평택시 서정역로26번길 3, 대성빌딩 1층 (서정동)",
176,신성약국,약국,031-665-1177,17753,"경기도 평택시 탄현로 329, (신장동)",
177,상록수 약국,약국,031-665-6119,17779,"경기도 평택시 서정역로 42, (서정동)",
178,국민약국,약국,031-667-7381,17757,"경기도 평택시 탄현로 320, (지산동)",
179,송탄시장약국,약국,031-667-0634,17783,"경기도 평택시 서정역로 22, (서정동)",
180,인화당약국,약국,031-664-8818,17779,"경기도 평택시 정암로 17, (서정동)",
181,구생당약국,약국,031-664-9752,17753,"경기도 평택시 탄현로327번길 4-1, (신장동)",
182,수약국,약국,031-668-0292,17753,"경기도 평택시 탄현로327번길 6, (신장동)",
183,메디팜신광약국,약국,031-666-2238,17753,"경기도 평택시 탄현로 321-1, (신장동)",
184,서정부부약국,약국,031-668-2541,17779,"경기도 평택시 서정역로 48, 1층 (서정동)",
185,송탄메디칼약국,약국,,17753,"경기도 평택시 탄현로327번길 8, 1층 (신장동)",
186,송탄효자약국,약국,031-666-5449,17753,"경기도 평택시 탄현로 317, (신장동)",
187,보건약국,약국,031-666-3948,17761,"경기도 평택시 탄현로 287, (신장동, (신장동 227))",
188,청북솔약국,약국,,17779,"경기도 평택시 서정역로 47, 1층 (서정동)",
189,지산약국,약국,031-611-7545,17757,"경기도 평택시 탄현로 300, (지산동)",
190,시드니약국,약국,031-611-1666,17767,"경기도 평택시 탄현1로 160, 102호 (신장동)",
191,서정온누리약국,약국,031-611-6538,17779,"경기도 평택시 탄현로 58, 103호 (서정동)",
192,서정리오렌지약국,약국,031-611-7539,17783,"경기도 평택시 탄현로 48, 1층 2호 (서정동)",
193,온누리수정약국,약국,031-666-2060,17758,"경기도 평택시 중앙시장로20번길 20, (신장동)",
194,경기약국,약국,031-666-8549,17758,"경기도 평택시 중앙시장로19번길 17, (신장동)",
195,삼동약국,약국,031-6192-0310,17786,"경기도 평택시 삼성로 114, 삼성전자(주) 평택캠퍼스 사무3동 2층 (고덕동)",
196,힐링약국,약국,031-611-0432,17786,"경기도 평택시 삼성로 114, 삼성전자(주) 평택캠퍼스 복지동 1층 (고덕동)",
197,중앙약국,약국,031-666-2971,17760,"경기도 평택시 신장로 27, (신장동)",
198,고덕드림약국,약국,031-611-6789,18014,"경기도 평택시 고덕여염9길 38, 105,106호 (고덕동)",
199,제일큰약국,약국,,18014,"경기도 평택시 고덕여염9길 13, SM타워 1층 105호 (고덕동)",
200,삼성메디컬약국,약국,031-665-6463,18008,"경기도 평택시 고덕갈평6길 29, 109,110호 (고덕동)",
201,슬기로운약국,약국,031-8676-0761,18008,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 1층 110,111호 (고덕동)",
202,휴베이스효약국,약국,,18018,"경기도 평택시 고덕국제대로 7, 창신베스트 1층 116호 (고덕동)",
203,세계로약국,약국,,18018,"경기도 평택시 고덕여염7길 21, (고덕동)",
204,우성탑약국,약국,031-667-0528,18014,"경기도 평택시 고덕중앙로 218, 1층 113.114호 (고덕동)",
205,고덕우리약국,약국,031-611-0662,18014,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 118호 (고덕동)",
206,도담온누리약국,약국,,18014,"경기도 평택시 고덕국제대로 94, 우성고덕타워2 106호 (고덕동)",
207,하나로약국,약국,031-655-1112,17988,"경기도 평택시 팽성읍 부용로55번길 3, (팽성읍)",
208,한마음약국,약국,031-691-9185,17989,"경기도 평택시 팽성읍 동서촌로 74, (팽성읍)",
209,고덕스타약국,약국,,18018,"경기도 평택시 고덕국제대로 77, 301동 b1113호 (고덕동, 힐스테이트 고덕 센트럴)",
210,유약국,약국,031-651-5559,17989,"경기도 평택시 팽성읍 부용로 27, 106호",
211,기분좋은온누리약국,약국,031-647-6803,18013,"경기도 평택시 고덕중앙2로 39, 고은메디타워 1층 108,109호 (고덕동)",
212,고덕중앙약국,약국,031-667-0116,17821,"경기도 평택시 고덕면 궁2길 67, 103호",
213,함박약국,약국,,18017,"경기도 평택시 함박산8길 31, 106호 (고덕동)",
214,맑은미소약국,약국,031-662-3995,18016,"경기도 평택시 함박산9길 3, 1층 103호 (고덕동)",
215,세명약국,약국,031-376-9797,17703,"경기도 평택시 서탄면 발안로 1226, 1226",
216,신진약국,약국,031-691-8145,17983,"경기도 평택시 팽성읍 안정로39번길 32, (팽성읍)",
217,바른손약국,약국,031-691-1228,17983,"경기도 평택시 팽성읍 안정쇼핑로 42, (팽성읍)",
218,안정약국,약국,031-691-1981,17982,"경기도 평택시 팽성읍 안정쇼핑로 37-1, 1층 101호",
219,수정약국,약국,031-691-8168,17983,"경기도 평택시 팽성읍 안정쇼핑로 36, (팽성읍)",
220,이메디칼약국,약국,031-663-1490,18022,"경기도 평택시 고덕로 250, 1층 109호 (고덕동)",
221,동산약국,약국,031-655-2374,17996,"경기도 평택시 팽성읍 팽성로 92, 나동 1층",
222,고덕미소약국,약국,,18022,"경기도 평택시 고덕로 246, 102호 (고덕동)",
223,고덕365약국,약국,,18020,"경기도 평택시 고덕로3길 22, 104호 (고덕동)",
224,서정약국,약국,,18020,"경기도 평택시 고덕로3길 27, 1층 107호 (고덕동)",
225,별약국,약국,031-647-0745,18022,"경기도 평택시 고덕국제5로 145, 106호 (고덕동)",
226,고덕메디칼약국,약국,031-611-0137,17789,"경기도 평택시 고덕면 동청1길 35, 102호",
227,오성당약국,약국,031-681-3638,17819,"경기도 평택시 오성면 숙성시장길 34-1, (오성면)",
228,평화약국,약국,031-686-6910,17792,"경기도 평택시 청북읍 청북산단로 48-8, 4호",
229,청북약국,약국,031-683-7553,17799,"경기도 평택시 청북읍 신포길 47, (청북읍)",
230,튼튼약국,약국,070-8874-2968,17933,"경기도 평택시 안중읍 안중로 143, 101호 (녹원빌딩)",
231,산들약국,약국,,17933,"경기도 평택시 안중읍 안중로 141, 102호",
232,안중온누리약국,약국,031-681-3930,17933,"경기도 평택시 안중읍 안중로 139, (안중읍)",
233,광혜당약국,약국,031-684-0123,17936,"경기도 평택시 안중읍 안현로 429, 서경빌딩 1층",
234,서울약국,약국,031-681-6006,17933,"경기도 평택시 안중읍 안중로 133, (안중읍)",
235,조은약국,약국,681-2137,17933,"경기도 평택시 안중읍 안중로131번길 4, 도도와빌딩 1층",
236,농민약국,약국,031-684-0445,17936,"경기도 평택시 안중읍 안현로 421, (안중읍)",
237,하늘온누리약국,약국,070-8866-7963,17936,"경기도 평택시 안중읍 안현로 417, 세정빌딩 (102호)",
238,안중조약국,약국,031-682-2245,17936,"경기도 평택시 안중읍 안중로 130-2, (안중읍)",
239,대성약국,약국,031-682-5564,17936,"경기도 평택시 안중읍 안중로 124-1, (안중읍)",
240,백화점약국,약국,031-682-1717,17936,"경기도 평택시 안중읍 안현로서2길 14, (안중읍)",
241,아이사랑약국,약국,031-686-6420,17933,"경기도 평택시 안중읍 안중로131번길 14-15, (안중읍)",
242,에덴약국,약국,031-682-6997,17936,"경기도 평택시 안중읍 안현로서2길 20, (안중읍)",
243,백제당약국,약국,031-682-2115,17936,"경기도 평택시 안중읍 안현로서6길 10, 101호 (대원빌딩)",
244,365중앙약국,약국,031-683-0963,17936,"경기도 평택시 안중읍 안현로서6길 18, (안중읍)",
245,안중늘푸른약국,약국,031-683-8476,17932,"경기도 평택시 안중읍 안현로서6길 44, (안중읍)",
246,참조은약국,약국,031-683-4211,17932,"경기도 평택시 안중읍 안현로서6길 50, (안중읍)",
247,메디컬참약국,약국,,17941,"경기도 평택시 안중읍 안현로 300, 안중 매디컬타워 104호",
248,우리동네효자약국,약국,031-684-5787,17805,"경기도 평택시 청북읍 청북남로 254, 112호",
249,현화메디컬약국,약국,031-686-9111,17943,"경기도 평택시 안중읍 안현로서8길 17, (안중읍)",
250,청북온누리약국,약국,031-686-8690,17808,"경기도 평택시 청북읍 안청로 332, 한남프라자 102호",
251,옹달샘약국,약국,070-7761-9713,17805,"경기도 평택시 청북읍 청북남로 260, (청북읍)",
252,수약국,약국,031-684-8181,17943,"경기도 평택시 안중읍 안현로서8길 23, 1층 (동흥빌딩)",
253,한솔약국,약국,031-681-3326,17932,"경기도 평택시 안중읍 안현로서6길 74, 1층",
254,공룡약국,약국,031-684-0511,17944,"경기도 평택시 안중읍 안현로서8길 57, 211호 (붐붐프라자)",
255,봄약국,약국,,17944,"경기도 평택시 안중읍 안현로서8길 57, 붐붐프라자 3층 305호",
256,현덕약국,약국,070-7782-7745,17946,"경기도 평택시 현덕면 현덕로 1271, 1층 101호",
257,평택대형약국,약국,031-681-1170,17815,"경기도 평택시 안중읍 성해1길 18-20, B동",
258,하나약국,약국,031-681-0641,17965,"경기도 평택시 포승읍 서동대로 1124, 1124",
259,서평택약국,약국,031-684-9964,17951,"경기도 평택시 포승읍 포승향남로 148, 148",
260,중앙메디칼약국,약국,0507-1341-0640,17961,"경기도 평택시 포승읍 서동대로 786, (포승읍)",
261,더조은약국,약국,,17961,"경기도 평택시 포승읍 포승산단로13번길 37-23, 1층 103호",
262,항만약국,약국,031-686-6466,17962,"경기도 평택시 포승읍 평택항로 1-6, 1",
263,포승종로약국,약국,031-611-5252,17955,"경기도 평택시 포승읍 여술로 37, (포승읍)",
264,민들레약국,약국,031-681-5177,17955,"경기도 평택시 포승읍 여술2길 22, (포승읍)",
265,포승중앙약국,약국,031-686-7533,17955,"경기도 평택시 포승읍 여술로 22, 101호",
266,햇빛약국,약국,070-7778-8868,17955,"경기도 평택시 포승읍 여술로 21, 1층 (선구빌딩)",
267,스타약국,약국,031-684-2024,17955,"경기도 평택시 포승읍 여술로 20, 평택스타타워 107,108호",
268,공단약국,약국,031-683-3567,17959,"경기도 평택시 포승읍 평택항로 180, 한샘빌딩 1층 103,104호",
269,충무약국,약국,031-681-2133,17950,"경기도 평택시 포승읍 2함대길 20, (해군아파트 상가내)",
